Timestamp,program,gender,AGE,HEIGHT,WEIGHT,SALARY_OLD,SALARY_GRAD,DESIRE_WORK_ORG,PARENTS,EXPENSES,TRANSPORT,COST_TRANSPORTATION,COST_ENTERTAINMENT,HAND,CELL_PHONE,SMOKE,foot_size,alcohol,tattoo,sleep,social,homework,work,travel,tuition,coffee,BMI,place,hours
2023/09/08 5:44:58 pm GMT-7,BABI,female,26.0,168.0,52.0,2000.0,4000.0,1. LARGE CORPORATION,False,2000.0,2. PUBLIC TRANSPORT,50.0,200.0,0. RIGHT-HANDED,47.0,False,9.0,,False,8.0,5.5,10.0,,True,True,1.0,18.42,Vancouver,300
2023/09/09 6:22:47 pm GMT-7,BABI,female,27.0,154.0,60.0,4000.0,6000.0,1. LARGE CORPORATION,True,300.0,2. PUBLIC TRANSPORT,50.0,100.0,0. RIGHT-HANDED,50.0,False,9.0,0.0,False,6.0,15.0,10.0,40.0,True,True,0.0,25.3,Vancouver,300
2023/09/10 3:03:39 pm GMT-7,BABI,male,32.0,176.0,230.0,,6200.0,1. LARGE CORPORATION,False,1600.0,3. DRIVE,150.0,250.0,0. RIGHT-HANDED,63.0,False,10.83,5.0,True,7.0,8.0,5.0,37.0,True,True,2.0,74.25,Vancouver,300
2023/09/11 9:58:25 pm GMT-7,BABI,female,24.0,153.0,52.0,4000.0,5000.0,2. SMALL COMPANY,True,1600.0,2. PUBLIC TRANSPORT,80.0,50.0,0. RIGHT-HANDED,50.0,False,9.0,,False,7.0,10.0,10.0,50.0,True,True,1.0,22.21,Vancouver,300
2023/09/14 2:12:27 pm GMT-7,BABI,female,35.0,165.0,53.0,6500.0,11000.0,1. LARGE CORPORATION,False,3000.0,2. PUBLIC TRANSPORT,100.0,300.0,1. LEFT-HANDED,80.0,False,9.5,1.0,False,7.0,10.0,15.0,40.0,True,True,2.0,19.47,Vancouver,300
2023/09/14 3:01:49 pm GMT-7,BABI,male,36.0,179.0,70.0,6000.0,6500.0,3. NON-PROFIT OR GOVERNMENT AGENCY,False,3000.0,5. OTHER,50.0,,0. RIGHT-HANDED,50.0,False,12.0,0.0,False,8.0,1.0,10.0,20.0,True,True,0.0,21.85,Vancouver,300
2023/09/14 8:05:03 pm GMT-7,BABI,male,23.0,175.0,63.0,4500.0,5000.0,1. LARGE CORPORATION,True,2500.0,3. DRIVE,200.0,300.0,0. RIGHT-HANDED,50.0,False,10.0,0.0,False,8.0,10.0,12.0,0.0,True,False,0.0,20.57,Vancouver,300
2023/09/17 10:11:22 am GMT-7,BABI,male,26.0,180.0,94.0,0.0,4500.0,2. SMALL COMPANY,False,300.0,2. PUBLIC TRANSPORT,20.0,20.0,0. RIGHT-HANDED,40.0,True,9.5,1.0,True,8.0,35.0,7.0,12.0,False,True,2.0,29.01,Vancouver,300
2023/09/17 2:18:42 pm GMT-7,BABI,female,36.0,165.0,65.0,1000.0,80000.0,1. LARGE CORPORATION,False,1400.0,2. PUBLIC TRANSPORT,0.0,0.0,1. LEFT-HANDED,50.0,False,9.8,0.0,False,8.0,2.0,4.0,0.0,True,True,2.0,23.88,Vancouver,300
2023/09/21 5:22:08 pm GMT-7,BABI,male,34.0,174.0,75.0,10.0,8000.0,2. SMALL COMPANY,False,6000.0,2. PUBLIC TRANSPORT,40.0,500.0,0. RIGHT-HANDED,100.0,False,9.68,1.0,False,6.0,2.0,18.0,10.0,True,True,1.0,24.77,Vancouver,300
2023/10/16 11:51:36 pm GMT-7,BABI,male,28.0,180.0,91.0,4500.0,7000.0,1. LARGE CORPORATION,False,2000.0,2. PUBLIC TRANSPORT,100.0,200.0,0. RIGHT-HANDED,70.0,False,11.61,1.0,False,8.0,30.0,15.0,40.0,False,True,0.0,28.09,Vancouver,300
2024/01/09 4:52:33 pm GMT-8,BITMAN,,15.0,167.0,60.0,0.0,5000.0,1. LARGE CORPORATION,True,800.0,1. WALK,0.0,100.0,2. AMBIDEXTROUS,100.0,False,7.0,2.0,True,9.0,5.0,2.5,2.0,False,False,5.0,21.51,Burnaby,1500
2024/01/11 8:48:31 pm GMT-8,BMGT,male,27.0,175.0,70.0,4500.0,5000.0,2. SMALL COMPANY,True,2500.0,3. DRIVE,300.0,100.0,0. RIGHT-HANDED,66.0,False,9.0,0.0,False,6.0,10.0,7.0,0.0,True,True,1.0,22.86,Richmond,400
2024/01/13 12:10:41 pm GMT-8,BITMAN,female,27.0,153.0,48.0,2000.0,4000.0,3. NON-PROFIT OR GOVERNMENT AGENCY,False,1300.0,2. PUBLIC TRANSPORT,0.0,150.0,0. RIGHT-HANDED,60.0,False,9.0,0.0,False,7.0,20.0,40.0,20.0,True,False,1.0,20.5,Burnaby,1500
2024/09/07 2:41:11 pm GMT-7,BABI,male,23.0,185.0,81.0,3500.0,5500.0,1. LARGE CORPORATION,True,800.0,2. PUBLIC TRANSPORT,46.0,200.0,0. RIGHT-HANDED,45.0,False,10.5,0.0,False,9.0,15.0,20.0,20.0,True,True,1.0,23.67,Vancouver,300
2024/09/07 3:32:24 pm GMT-7,BABI,male,35.0,1.77,68.0,3000.0,6000.0,3. NON-PROFIT OR GOVERNMENT AGENCY,False,1600.0,1. WALK,0.0,110.0,0. RIGHT-HANDED,70.0,False,15.0,2.0,False,7.0,10.0,10.0,0.0,True,True,0.0,217051.29,Vancouver,300
2024/09/07 3:58:21 pm GMT-7,BABI,male,28.0,171.0,72.0,3600.0,4000.0,3. NON-PROFIT OR GOVERNMENT AGENCY,True,800.0,2. PUBLIC TRANSPORT,270.0,100.0,0. RIGHT-HANDED,40.0,False,10.4,1.0,True,6.5,5.0,12.0,37.5,True,True,0.0,24.62,Vancouver,300
2024/09/07 8:59:29 pm GMT-7,BABI,female,35.0,167.0,77.0,0.0,5000.0,3. NON-PROFIT OR GOVERNMENT AGENCY,False,5000.0,2. PUBLIC TRANSPORT,,80.0,0. RIGHT-HANDED,130.0,False,9.0,0.0,False,6.0,4.0,14.0,0.0,True,False,0.0,27.61,Vancouver,300
2024/09/08 3:03:26 pm GMT-7,BABI,male,24.0,174.0,65.0,5.0,6.0,1. LARGE CORPORATION,False,2500.0,2. PUBLIC TRANSPORT,50.0,200.0,0. RIGHT-HANDED,78.0,False,10.0,1.0,False,7.0,20.0,10.0,40.0,True,True,1.0,21.47,Vancouver,300
2024/09/08 3:35:34 pm GMT-7,BABI,male,54.0,165.0,88.0,68000.0,8000.0,3. NON-PROFIT OR GOVERNMENT AGENCY,True,2000.0,3. DRIVE,20.0,250.0,0. RIGHT-HANDED,90.0,False,10.0,0.0,False,6.0,1.0,5.0,40.0,True,False,2.0,32.32,Vancouver,300
2024/09/08 7:43:49 pm GMT-7,BABI,female,25.0,168.0,68.0,5000.0,5500.0,2. SMALL COMPANY,True,2000.0,3. DRIVE,120.0,70.0,0. RIGHT-HANDED,65.0,False,9.0,0.0,False,7.5,7.0,6.0,37.0,True,False,2.0,24.09,Vancouver,300
2024/09/09 3:20:17 pm GMT-7,BABI,male,35.0,178.0,82.0,5700.0,6500.0,3. NON-PROFIT OR GOVERNMENT AGENCY,False,2000.0,2. PUBLIC TRANSPORT,100.0,500.0,0. RIGHT-HANDED,100.0,False,10.6,2.0,False,7.0,1.5,20.0,25.0,True,False,1.0,25.88,Vancouver,300
2024/09/09 10:28:51 pm GMT-7,BABI,male,33.0,178.0,80.0,5600.0,7000.0,1. LARGE CORPORATION,True,1500.0,2. PUBLIC TRANSPORT,40.0,100.0,0. RIGHT-HANDED,45.0,False,10.0,1.0,False,6.0,20.0,7.0,40.0,True,True,0.0,25.25,Vancouver,300
2024/09/10 8:09:11 am GMT-7,BABI,female,46.0,168.0,55.0,7200.0,6000.0,1. LARGE CORPORATION,False,1500.0,5. OTHER,80.0,300.0,1. LEFT-HANDED,63.0,False,9.5,3.0,False,8.0,1.0,6.0,18.0,True,True,3.0,19.49,Vancouver,300
2024/09/11 4:21:54 pm GMT-7,BABI,female,28.0,165.0,47.0,4200.0,6000.0,1. LARGE CORPORATION,False,,2. PUBLIC TRANSPORT,,90.0,0. RIGHT-HANDED,40.0,False,10.0,0.0,True,6.0,20.0,20.0,0.0,True,True,0.0,17.26,Vancouver,300
2024/09/11 6:51:37 pm GMT-7,BABI,male,25.0,178.0,80.0,4000.0,5000.0,1. LARGE CORPORATION,False,2500.0,2. PUBLIC TRANSPORT,60.0,50.0,0. RIGHT-HANDED,42.0,False,,0.0,False,7.0,12.0,20.0,0.0,True,False,1.0,25.25,Vancouver,300
2024/09/14 5:20:17 pm GMT-7,BABI,male,23.0,182.0,79.0,0.0,2500.0,3. NON-PROFIT OR GOVERNMENT AGENCY,True,1000.0,3. DRIVE,50.0,100.0,0. RIGHT-HANDED,45.0,False,10.24,0.0,False,7.5,3.0,12.0,0.0,True,False,1.0,23.85,Vancouver,300
2024/09/15 8:11:26 am GMT-7,BABI,female,27.0,180.0,68.0,0.0,120000.0,3. NON-PROFIT OR GOVERNMENT AGENCY,False,1200.0,2. PUBLIC TRANSPORT,8.0,9.0,0. RIGHT-HANDED,1.0,False,5.0,0.0,False,7.0,3.0,9.0,0.0,True,True,1.0,20.99,Vancouver,300
2025/01/07 1:43:48 pm GMT-8,BITMAN,male,25.0,180.0,80.0,3500.0,5000.0,1. LARGE CORPORATION,False,1500.0,1. WALK,0.0,10.0,0. RIGHT-HANDED,50.0,False,10.0,0.0,False,6.0,1.0,10.0,1.0,True,True,1.5,24.69,Burnaby,1500
2025/01/07 1:44:24 pm GMT-8,BITMAN,male,33.0,170.0,72.0,3000.0,10.0,1. LARGE CORPORATION,False,5000.0,3. DRIVE,150.0,100.0,0. RIGHT-HANDED,40.0,False,,1.0,False,6.0,7.0,20.0,6.0,True,True,3.0,24.91,Burnaby,1500
2025/01/07 1:50:36 pm GMT-8,BITMAN,female,41.0,157.48,69.0,6.0,6.0,3. NON-PROFIT OR GOVERNMENT AGENCY,False,3.0,2. PUBLIC TRANSPORT,250.0,250.0,0. RIGHT-HANDED,68.0,False,9.5,0.0,False,6.0,15.0,35.0,20.0,True,True,2.0,27.82,Burnaby,1500
